Zaman damgası,Cinsiyetiniz nedir?,Kaçıncı sınıfta eğitim görüyorsunuz?,Hangi fakültede öğrenim görüyorsunuz?,Not ortalamanız hangi sistem üzerinden hesaplanıyor?,4'lük sistemde geçen dönemki ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 2.15):,4'lük sistemde genel ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 2.15):,100'lük sistemde geçen dönemki ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 93.5):,100'lük sistemde genel ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 93.5):,Önceki dönem aldığınız ders sayısını giriniz:,Önceki dönem başarısız olduğunuz ders sayısını giriniz:,Haftada kaç saat ders çalışıyorsunuz?,Sınav haftaları kaç saat ders çalışıyorsunuz?,Annenizin eğitim durumu nedir?,Babanızın eğitim durumu nedir?,Evinizin aylık toplam geliri ne kadardır?,Bir işte çalışıyor musunuz?,Eğitim-öğretim dönemi içerisinde nerede ikamet ediyorsunuz?,Günlük ortalama ekran sürenizi seçiniz:,Günlük ortalama uyku sürenizi seçiniz:
04.03.2026 12:26:37,Kadın,3.sınıf,Mühendislik Fakültesi,100'lük sistem,,,75.00,70,15,5,10-20 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,0 - 3 saat,7 - 10 saat
04.03.2026 19:51:33,Erkek,2.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.28,2.38,,,13,0,0-5 saat,0-5 saat,İlkokul,İlkokul,90.000+ TL,Çalışmıyorum.,Yurt,7 - 10 saat,10 - 15 saat
04.03.2026 19:57:09,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,1.92,2.66,,,8,3,10-20 saat,30-50 saat,Lise,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,3 - 6 saat
04.03.2026 20:04:19,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.50,3,,,6,0,5-10 saat,10-20 saat,Ortaokul,Ortaokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:05:23,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,1.37,1.83,,,8,4,10-20 saat,30-50 saat,Lise,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 20:06:06,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.60,2.65,,,8,0,0-5 saat,30-50 saat,İlkokul,Ortaokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,3 - 6 saat
04.03.2026 20:06:14,Kadın,4.sınıf,Mühendislik Fakültesi,4'lük sistem,3,2.63,,,2,0,5-10 saat,10-20 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 20:06:25,Erkek,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.5,3.12,,,6,0,20-30 saat,20-30 saat,Lise,Lise,90.000+ TL,Çalışmıyorum.,Yurt,3 - 6 saat,3 - 6 saat
04.03.2026 20:06:28,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.33,3.43,,,9,0,10-20 saat,20-30 saat,Lise,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 20:06:53,Kadın,4.sınıf,Mühendislik Fakültesi,4'lük sistem,2.21,2.21,,,6,2,5-10 saat,10-20 saat,İlkokul,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 20:07:21,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.84,3.22,,,6,0,10-20 saat,20-30 saat,Lise,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:09:03,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.41,2.64,,,7,0,0-5 saat,5-10 saat,Ortaokul,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Öğrenci evi,7 - 10 saat,3 - 6 saat
04.03.2026 20:11:37,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,3.15,3.05,,,15,0,10-20 saat,10-20 saat,İlkokul,İlkokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:12:41,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,2.33,2.86,,,9,2,5-10 saat,10-20 saat,Lise,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,3 - 6 saat
04.03.2026 20:12:53,Kadın,1.sınıf,Diğer,4'lük sistem,3.50,3.78,,,9,0,10-20 saat,20-30 saat,Lise,Lise,0 - 28.075 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 20:15:38,Erkek,2.sınıf,Diğer,4'lük sistem,2.83,3.20,,,10,1,5-10 saat,5-10 saat,İlkokul,İlkokul,28.075 - 60.000 TL,Full-Time çalışıyorum.,Öğrenci evi,0 - 3 saat,7 - 10 saat
04.03.2026 20:17:38,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,4.00,3.35,,,7,0,0-5 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 20:17:39,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.53,2.64,,,8,0,20-30 saat,30-50 saat,İlkokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 20:20:29,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,1.95,2.50,,,6,2,0-5 saat,10-20 saat,İlkokul,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
04.03.2026 20:24:53,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.45,3.12,,,8,0,0-5 saat,5-10 saat,İlkokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:25:48,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,2.28,1.97,,,8,2,0-5 saat,10-20 saat,İlkokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:26:00,Erkek,1.sınıf,Havacılık ve Uzay Bilimleri Fakültesi,4'lük sistem,3.41,3.41,,,11,0,10-20 saat,30-50 saat,Üniversite,Lise,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:26:14,Erkek,Hazırlık,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,2.70,2.78,,,6,1,0-5 saat,0-5 saat,Üniversite,Üniversite,28.075 - 60.000 TL,Full-Time çalışıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 20:26:57,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,3.38,3.03,,,7,0,5-10 saat,30-50 saat,Lise,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:29:47,Kadın,2.sınıf,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,2.1,2.1,,,9,2,5-10 saat,20-30 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 20:29:52,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,1.98,2.10,,,11,2,0-5 saat,10-20 saat,Üniversite,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,0 - 3 saat,7 - 10 saat
04.03.2026 20:33:45,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,2.15,2.15,,,8,0,0-5 saat,10-20 saat,Lise,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 20:35:26,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.72,2.57,,,8,0,0-5 saat,5-10 saat,İlkokul,Ortaokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:38:57,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,3.43,3.36,,,7,0,10-20 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 20:40:36,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.84,2.89,,,10,0,20-30 saat,50+ saat,Ortaokul,Üniversite,28.075 - 60.000 TL,Part-Time çalışıyorum.,Diğer,0 - 3 saat,7 - 10 saat
04.03.2026 20:40:40,Kadın,2.sınıf,Havacılık ve Uzay Bilimleri Fakültesi,4'lük sistem,3.34,3.47,,,9,0,5-10 saat,30-50 saat,Ortaokul,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 20:45:32,Kadın,4.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.72,2.59,,,5,0,0-5 saat,5-10 saat,İlkokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:45:58,Erkek,2.sınıf,Diğer,4'lük sistem,2.70,2.83,,,10,0,0-5 saat,20-30 saat,Ortaokul,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:46:00,Kadın,2.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.19,3.23,,,12,0,0-5 saat,50+ saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 20:47:09,Kadın,1.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.30,3.30,,,9,0,0-5 saat,10-20 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:47:49,Kadın,1.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.75,2.75,,,13,0,10-20 saat,20-30 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
04.03.2026 20:49:27,Erkek,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.37,3.47,,,6,1,5-10 saat,10-20 saat,Üniversite,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Öğrenci evi,0 - 3 saat,7 - 10 saat
04.03.2026 20:50:28,Erkek,1.sınıf,Havacılık ve Uzay Bilimleri Fakültesi,4'lük sistem,3.42,3.42,,,9,0,0-5 saat,30-50 saat,Lise,Lise,60.000 - 90.000 TL,Part-Time çalışıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:50:48,Erkek,Diğer,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,2.56,2.85,,,9,0,0-5 saat,50+ saat,İlkokul,Ortaokul,0 - 28.075 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 20:52:06,Kadın,2.sınıf,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,2.49,2.64,,,5,1,5-10 saat,20-30 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 20:52:25,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.25,2.90,,,16,2,10-20 saat,10-20 saat,Lise,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,0 - 3 saat,3 - 6 saat
04.03.2026 20:53:30,Kadın,4.sınıf,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,3.38,3.02,,,8,0,5-10 saat,20-30 saat,Lise,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 20:53:41,Kadın,1.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,0,3.25,,,7,0,5-10 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 20:54:25,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.23,3.18,,,6,0,0-5 saat,10-20 saat,Lise,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Öğrenci evi,3 - 6 saat,7 - 10 saat
04.03.2026 20:55:47,Kadın,4.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.15,2.97,,,9,1,0-5 saat,0-5 saat,Ortaokul,Ortaokul,60.000 - 90.000 TL,Part-Time çalışıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 20:56:52,Kadın,3.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.3,3.28,,,8,1,0-5 saat,5-10 saat,İlkokul,İlkokul,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 21:04:16,Kadın,4.sınıf,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,3.0,2.80,,,7,0,50+ saat,50+ saat,Ortaokul,Üniversite,28.075 - 60.000 TL,Part-Time çalışıyorum.,Aile evi,7 - 10 saat,3 - 6 saat
04.03.2026 21:04:27,Kadın,2.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.33,2.85,,,8,0,30-50 saat,10-20 saat,İlkokul,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 21:05:18,Erkek,Diğer,Mühendislik Fakültesi,4'lük sistem,4,4,,,2,0,5-10 saat,5-10 saat,Hiçbiri,İlkokul,90.000+ TL,Full-Time çalışıyorum.,Aile evi,0 - 3 saat,7 - 10 saat
04.03.2026 21:15:40,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,2.96,2.98,,,9,0,5-10 saat,20-30 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 21:16:32,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.95,2.89,,,6,0,0-5 saat,5-10 saat,İlkokul,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
04.03.2026 21:17:06,Kadın,4.sınıf,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,3.47,3,,,8,1,0-5 saat,30-50 saat,Üniversite,Lise,90.000+ TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
04.03.2026 21:21:36,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.45,2.93,,,6,1,10-20 saat,30-50 saat,İlkokul,Lise,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 21:21:49,Kadın,6.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.8,3.3,,,6,0,10-20 saat,20-30 saat,İlkokul,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 21:24:03,Erkek,1.sınıf,Mühendislik Fakültesi,4'lük sistem,2.78,2.78,,,8,0,0-5 saat,50+ saat,Ortaokul,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 21:24:40,Kadın,4.sınıf,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,3.10,2.80,,,9,0,5-10 saat,50+ saat,Ortaokul,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 21:32:30,Kadın,4.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.80,2.64,,,4,0,0-5 saat,10-20 saat,Lise,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Öğrenci evi,3 - 6 saat,7 - 10 saat
04.03.2026 21:35:22,Kadın,2.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.12,3.27,,,11,0,20-30 saat,50+ saat,Lise,Üniversite,28.075 - 60.000 TL,Part-Time çalışıyorum.,Öğrenci evi,3 - 6 saat,7 - 10 saat
04.03.2026 21:40:20,Erkek,Diğer,Mühendislik Fakültesi,4'lük sistem,2.0,2.0,46.00,46.00,6,0,5-10 saat,10-20 saat,Üniversite,Lise,28.075 - 60.000 TL,Part-Time çalışıyorum.,Öğrenci evi,3 - 6 saat,3 - 6 saat
04.03.2026 21:41:29,Kadın,2.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.42,3.68,,,8,0,5-10 saat,5-10 saat,Üniversite,Lise,0 - 28.075 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 21:50:22,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,2.10,2.30,,,10,5,10-20 saat,20-30 saat,Lise,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 21:58:08,Kadın,Hazırlık,Mühendislik Fakültesi,100'lük sistem,,,72.00,74.0,3,0,0-5 saat,5-10 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 22:03:04,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.2,3.1,,,7,0,5-10 saat,10-20 saat,Üniversite,Üniversite,0 - 28.075 TL,Çalışmıyorum.,Yurt,0 - 3 saat,3 - 6 saat
04.03.2026 22:06:25,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.08,3.08,,,10,0,10-20 saat,5-10 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 22:11:21,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,2.60,2.98,,,7,5,10-20 saat,20-30 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 22:13:40,Kadın,3.sınıf,Diğer,4'lük sistem,3.51,3.32,,,12,0,0-5 saat,50+ saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 22:21:41,Kadın,4.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,100'lük sistem,,,46.00,65.0,14,0,10-20 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 22:21:42,Erkek,2.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.5,2.7,,,6,0,5-10 saat,30-50 saat,Lise,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,7 - 10 saat,3 - 6 saat
04.03.2026 22:25:21,Kadın,4.sınıf,Mühendislik Fakültesi,4'lük sistem,2.13,2.15,,,11,4,5-10 saat,10-20 saat,İlkokul,Lise,28.075 - 60.000 TL,Full-Time çalışıyorum.,Öğrenci evi,0 - 3 saat,7 - 10 saat
04.03.2026 22:34:12,Erkek,4.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,100'lük sistem,,,71.32,70.0,24,0,0-5 saat,50+ saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 22:37:13,Kadın,2.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.37,2.96,,,9,0,5-10 saat,5-10 saat,Lise,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 22:37:18,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.11,2.90,,,6,0,0-5 saat,30-50 saat,İlkokul,Ortaokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 22:46:23,Erkek,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.80,2.92,,,8,0,10-20 saat,30-50 saat,Lise,Lise,90.000+ TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 22:46:36,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,2.34,2.34,,,9,1,0-5 saat,5-10 saat,Lise,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 22:49:06,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.17,2.56,,,11,0,0-5 saat,20-30 saat,İlkokul,Lise,0 - 28.075 TL,Çalışmıyorum.,Yurt,7 - 10 saat,3 - 6 saat
04.03.2026 22:56:11,Kadın,4.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.51 ,2.39,,,4,1,5-10 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
04.03.2026 23:01:28,Erkek,Diğer,Diğer,4'lük sistem,3.11,2.90,,,12,0,5-10 saat,10-20 saat,Üniversite,Üniversite,90.000+ TL,Part-Time çalışıyorum.,Aile evi,0 - 3 saat,7 - 10 saat
04.03.2026 23:39:41,Kadın,2.sınıf,Mühendislik Fakültesi,4'lük sistem,1.25,2.25,,,10,4,0-5 saat,10-20 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 23:49:33,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.2,3.0,,,13,0,0-5 saat,5-10 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
05.03.2026 02:34:38,Kadın,3.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.5,2.7,,,12,0,0-5 saat,0-5 saat,Ortaokul,Lise,90.000+ TL,Part-Time çalışıyorum.,Yurt,7 - 10 saat,7 - 10 saat
05.03.2026 05:48:46,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.16,3.24,,,9,0,10-20 saat,30-50 saat,Üniversite,Ortaokul,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
